price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
12995,261002,wi,45.301118,-92.971094,20.084801846864178,29.61564827359148,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.1239485751258896,0.1721242298928179,0.1031310659127352,0.0579936422201592,0.2726109095000985,1
5695,181634,wi,44.580662,-91.649237,31.89359086918349,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.1393225869974962,0.2232818521956845,0.0494415843812417,0.347399217936816,1
3750,201500,wi,45.4195,-92.0027,53.73333333333333,17.437556837361644,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.2894196416012603,0.03170450389625,0.1119644414437223,0.0462064309224407,0.3593974175035868,1
6800,188000,wi,44.737906,-91.422661,27.647058823529413,17.437556837361644,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0348552620474301,0.03170450389625,0.2232818521956845,0.0462064309224407,0.3593974175035868,1
3995,207000,wi,44.873508,-91.693289,51.81476846057572,29.61564827359148,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.1721242298928179,0.1515458407179227,0.0602160519875095,0.347399217936816,1
5995,151000,wi,44.873341,-91.692667,25.18765638031693,26.38977874398792,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.0308464849354375,0.0462064309224407,0.3593974175035868,1
14500,75000,wi,44.9993,-91.7357,5.172413793103448,29.45010485825107,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.1393225869974962,0.1031310659127352,0.0635074689847244,0.3593974175035868,1
3900,207558,wi,44.785425,-92.225607,53.22,23.946222783330985,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0364728387768306,0.1031310659127352,0.0132359974118772,0.2726109095000985,1
25988,13550,wi,44.901569,-91.936555,0.5213944897645066,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1393225869974962,0.0308464849354375,0.0356007539314147,0.347399217936816,1
19988,86000,wi,44.901478,-91.936641,4.302581548929358,26.38977874398792,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.1031310659127352,0.0456578614229048,0.3593974175035868,1
62988,48150,wi,44.901356,-91.936684,0.7644313202514764,23.946222783330985,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.0364728387768306,0.2232818521956845,0.0456578614229048,0.2726109095000985,1
11900,64100,wi,44.794993,-91.464272,5.38655462184874,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0458688496919571,0.1393225869974962,0.1031310659127352,0.0029819675359383,0.2726109095000985,1
9295,115473,wi,44.795236,-91.464615,12.423130715438408,31.87811834220981,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0915548428840689,0.1207978169747095,0.0602160519875095,0.347399217936816,1
1500,158500,wi,44.4295,-92.0007,105.66666666666669,29.61564827359148,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.1820266126536698,0.0290038540523813,0.3593974175035868,1
2450,194285,wi,44.784,-91.4877,79.3,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.1820266126536698,0.0397220581202351,0.3593974175035868,1
12500,134000,wi,44.784,-91.4877,10.72,26.38977874398792,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.005218443187892,0.0456719273075083,0.1207978169747095,0.0635074689847244,0.3593974175035868,1
8000,100633,wi,44.8346,-91.5159,12.579125,28.93171058546328,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0243480462486285,0.1820266126536698,0.0639716431766393,0.347399217936816,1
1900,69400,wi,45.0719,-91.8871,36.526315789473685,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0839030016597743,0.1721242298928179,0.0308464849354375,0.003207021689594,0.2726109095000985,1
7295,57086,wi,43.961981,-91.27339,7.82535983550377,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.1393225869974962,0.1820266126536698,0.0356007539314147,0.347399217936816,1
14999,179000,wi,45.101508,-91.483905,11.934128941929462,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1393225869974962,0.1207978169747095,0.0707935972093285,0.2726109095000985,1
5200,178000,wi,44.999782,-91.724575,34.23076923076923,28.68636564028874,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.2894196416012603,0.0247840886713365,0.1515458407179227,0.0707935972093285,0.347399217936816,1
3999,143000,wi,44.9369,-91.3929,35.75893973493373,28.31925613673581,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.027245618476946,0.0143472022955523,0.2232818521956845,0.0579936422201592,0.347399217936816,1
3985,261193,wi,42.806074,-91.599094,65.54404015056461,31.87811834220981,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0915548428840689,0.1820266126536698,0.0534222297240273,0.3593974175035868,1
7899,190662,wi,42.806074,-91.599094,24.137485757690847,31.87811834220981,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0458688496919571,0.0915548428840689,0.1820266126536698,0.0494415843812417,0.3593974175035868,1
9450,186351,wi,42.806074,-91.599094,19.71968253968254,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1393225869974962,0.1119644414437223,0.0411286465805834,0.2726109095000985,1
6950,193317,wi,43.050416,-91.528451,27.81539568345324,29.45010485825107,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1393225869974962,0.1207978169747095,0.0579936422201592,0.2726109095000985,1
9399,129845,wi,42.851567,-91.597144,13.814767528460475,15.511811324673186,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.0298759388977972,0.1031310659127352,0.0534222297240273,0.2726109095000985,1
3700,181188,wi,42.895754,-91.595016,48.96972972972973,51.70260066529553,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0098320533378344,0.1820266126536698,0.0494415843812417,0.3593974175035868,1
17825,67267,wi,44.902958,-91.925247,3.773744740532959,42.42961958439378,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0632683489464652,0.0154584071792275,0.2232818521956845,0.0707935972093285,0.3593974175035868,1
1500,200000,wi,44.63,-91.9295,133.33333333333334,29.937915525016496,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0141080822572931,0.1515458407179227,0.0144456634877767,0.3593974175035868,1
14500,31225,wi,44.8346,-91.5159,2.1534482758620688,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0458688496919571,0.1393225869974962,0.1119644414437223,0.0356007539314147,0.347399217936816,1
1200,187000,wi,44.8346,-91.5159,155.83333333333334,29.61564827359148,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0187216924072354,0.3593974175035868,1
